Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
[rcrand] bender 0 bank 0 : 30000 random pairs, rows [0,65536), t_12=30, t_23 in {1,2}
[platform] BITSTREAM_IMEM in effect: 2048 (compile-time default)
[rcrand] 20800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 21000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 21200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 21400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 21600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 21800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 22000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 22200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 22400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 22600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 22800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 23000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 23200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 23400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 23600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 23800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 24000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 24200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 24400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 24600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 24800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 25000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 25200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 25400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 25600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 25800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 26000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 26200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 26400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 26600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 26800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 27000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 27200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 27400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
